title,author,price,publisher,page_count,generes,ISBN
Attack on Titan: Volume 13,Hajime Isayama,43.28,Kodansha Comics,192,"Comics , Graphic Novels , Superheroes",9.78161E+12
Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,26.15,Kensington Publishing Corp.,288,"Fiction , Mystery , Detective , Cozy , General",9.78076E+12
The Art of Super Mario Odyssey,Nintendo,133.85,Dark Horse Comics,368,"Games , Activities , Video , Electronic",9.78151E+12
Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,26.15,Kensington Publishing Corp.,320,"Fiction , Fantasy , Epic",9.78162E+12
"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,28.54,HarperCollins UK,544,"Fiction , Fantasy , Dark Fantasy",9.78001E+12
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,29.29,HarperCollins UK,864,"Business , Economics , Motivational",9.78179E+12
God of War: The Official Novelization,J.M. Barlog,15.82,Titan Books,400,"Fiction , Media Tie-In",9.78125E+12
Edgedancer: From the Stormlight Archive,Brandon Sanderson,36.79,Tor Books,226,"Fiction , Fantasy , Epic",9.78006E+12
"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,50.25,HarperCollins,304,"Games , Activities , Video , Electronic",9.78153E+12
Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,41.82,Pan Macmillan,112,"Biography , Autobiography , Medical (incl. Patients)",9.78147E+12
Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,43.28,Hachette UK,400,"Fiction , Fantasy , Dragons , Mythical Creatures",9.78163E+12
The Mysterious Affair at Styles (Poirot),Agatha Christie,19.28,HarperCollins UK,208,"Business , Economics , Motivational",9.7813E+12
Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,14.96,Blake Pierce,250,"Fiction , Science Fiction , Action , Adventure",9.78143E+12
Deadpool Kills the Marvel Universe,Cullen Bunn,27.53,Marvel Entertainment,96,"Comics , Graphic Novels , Superheroes",9.78079E+12
The Red Signal: An Agatha Christie Short Story,Agatha Christie,7.5,HarperCollins UK,40,"Fiction , Mystery , Detective , General",9.78184E+12
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,33.42,Tor Fantasy,704,"Fiction , Fantasy , Epic",9.78033E+12
Ultimate Spider-Man Vol. 11: Carnage,Brian Michael Bendis,43.28,Marvel Entertainment,144,"Fiction , Classics",9.78141E+12
The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,14.96,Bookouture,358,"Fiction , Women",9.7811E+12
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,32.51,Pan Macmillan,245,"Juvenile Fiction , Humorous Stories",9.78045E+12
"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,24.94,HarperCollins UK,416,"Fiction , Classics",9.78031E+12
Influence: The Psychology of Persuasion,Robert B. Cialdini,56.14,Harper Collins,336,"Business , Economics , Motivational",9.78145E+12
Critical Role Vox Machina: Origins: Volume 1,Matthew Mercer,66.9,Dark Horse Comics,168,"Fiction , Mystery , Detective , Women Sleuths",9.7816E+12
Introducing Critical Theory: A Graphic Guide,Stuart Sim,23.4,Icon Books,176,"Social Science , General",9.7815E+12
Morning Star,Pierce Brown,62.1,Del Rey,544,"Fiction , Science Fiction , Action , Adventure",9.7814E+12
Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,98.42,Hachette UK,336,General,9.78152E+12
After Anna,Alex Lake,20.51,HarperCollins UK,416,"Fiction , Mystery , Detective , General",9.78148E+12
How to Win Friends and Influence People,Dale Carnegie,55.47,Random House,304,"Business , Economics , Motivational",9.78185E+12
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,39.34,Penguin,448,"Fiction , Mystery , Detective , Women Sleuths",9.78142E+12
Salvaged,Madeleine Roux,47.78,Penguin,368,"Fiction , Science Fiction , Action , Adventure",9.78081E+12
The Art of Thinking Clearly,Rolf Dobelli,7.84,Harper Collins,384,General,9.78144E+12
The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,35.4,Del Rey,656,"Fiction , Fantasy , Epic",9.78055E+12
The Ultimate Secrets of Total Self-Confidence,Robert Anthony,23.85,Penguin,240,General,9.78075E+12
Ready Player One,Ernest Cline,39.34,Broadway Books,384,General,9.78194E+12
A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,18.72,Morgan Rice,250,"Fiction , Fantasy , Epic",9.78049E+12
"Financial Statements, Revised and Expanded Edition: A Step-by-Step Guide to Understanding and Creating Financial Reports",Thomas Ittelson,78.73,Red Wheel/Weiser,288,"Business , Economics , Accounting , Financial",9.78803E+12
Death of a Bachelorette,Laura Levine,29.9,Kensington Books,304,General,9.78036E+12
Batman: The Man Who Laughs,Ed Brubaker,59.93,DC,146,General,9.78058E+12
Martha Stewart's Cookie Perfection: 100+ Recipes to Take Your Sweet Treats to the Next Level: A Baking Book,Editors of Martha Stewart Living,66.87,Clarkson Potter,256,"Cooking , Methods , Baking",9.78164E+12
You'll Never See Daylight Again,Michaella McCollum,42.16,Kings Road Publishing,476,General,9.78168E+12
The Raven,Edgar Allan Poe,40.8,Simon and Schuster,32,"Fiction , Literary",9.78374E+12
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,35.44,Harper Collins,336,"Fiction , Mystery , Detective , Women Sleuths",9.78037E+12
I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,49.92,Random House,704,"Fiction , Thrillers , Suspense",9.78074E+12
Civil War: Volume 1,Mark Millar,51.16,Marvel Entertainment,208,"Comics , Graphic Novels , Superheroes",9.78053E+12
The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,62.1,Penguin,336,General,9.78068E+12
The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,98.42,Hachette UK,384,"Fiction , Thrillers , Suspense",9.78807E+12
The Art Of Seduction,Robert Greene,74.99,Profile Books,272,"Self-Help , Personal Growth , General",9.78014E+12
Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,78.72,Simon and Schuster,592,"Business , Economics , Industries , General",9.78178E+12
Marketing (The Brian Tracy Success Library),Brian Tracy,29.4,AMACOM,112,"Business , Economics , Marketing , General",9.78364E+12
Furies of Calderon,Jim Butcher,14.29,Penguin,672,General,9.78007E+12
The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,33.42,Tor Books,704,"Fiction , Fantasy , Epic",9.78057E+12
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,3.9,Harper Collins,224,"Business , Economics , Motivational",9.78109E+12
"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,88.06,HarperCollins UK,4544,General,9.78077E+12
A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,39.34,Bantam,720,"Fiction , Fantasy , Epic",9.78174E+12
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,576,"Self-Help , Personal Growth , General",9.78174E+12
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,20.2,Simon and Schuster,320,"Fiction , Mystery , Detective , Private Investigators",9.78174E+12
Bring Me Back,B A Paris,30.71,HarperCollins UK,368,"Fiction , Thrillers , Crime",9.78174E+12
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,96.12,Harper Collins,320,"Business , Economics , Management",9.78174E+12
How to Understand Business Finance: Edition 2,Bob Cinnamon,46.85,Kogan Page Publishers,176,"Business , Economics , Corporate Finance , General",9.78175E+12
No Mercy: The brand new novel from the Queen of Crime,Martina Cole,98.42,Hachette UK,416,"Fiction , Crime",9.78175E+12
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,18.72,Morgan Rice,250,"Fiction , Science Fiction , General",9.78175E+12
Batman: Year One,Frank Miller,59.03,DC,148,General,9.78175E+12
Final Option: 'The best one yet',Clive Cussler,93.75,Penguin UK,400,"Fiction , Crime",9.78175E+12
Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,33.14,Andrews McMeel Publishing,144,General,9.78175E+12
Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,15.19,DGS,350,General,9.78175E+12
Rework,Jason Fried,71.63,Currency,288,"Business , Economics , Personal Success",9.78175E+12
Dark Nights: Metal: Deluxe Edition: Issues 1-6,Scott Snyder,118.11,DC Comics,216,General,9.78175E+12
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,27.53,Wizards of the Coast,352,"Fiction , Fantasy , Epic",9.78175E+12
Permanent Record,Edward Snowden,49.58,Metropolitan Books,352,General,9.78176E+12
The Marine's E-Mail Order Bride: Heroes of Chance Creek Volume 4,Cora Seton,15.72,One Acre Press,300,General,9.78176E+12
Now or Never: A Novel,Elizabeth Adler,31.46,Island Books,448,"Fiction , Mystery , Detective , Police Procedural",9.78176E+12
Battle Sight Zero,Gerald Seymour,94.48,Hachette UK,448,"Fiction , Thrillers , Suspense",9.78176E+12
Shattered Bonds,Faith Hunter,31.46,Penguin,400,"Fiction , Fantasy , Contemporary",9.78176E+12
"Rogue, Prisoner, Princess (Of Crowns and GloryBook 2)",Morgan Rice,14.96,Morgan Rice,250,General,9.78176E+12
Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,29.21,HarperCollins UK,304,General,9.78176E+12
Death Masks,Jim Butcher,39.34,Penguin Group,464,General,9.78176E+12
